,title,href,Date
37,हल्ला बोल: किसी भी वक्त गुजरात के तट से टकरा सकता है बिपरजॉय ,https://www.aajtak.in/programmes/halla-bol/video/cyclone-biparjoy-live-updates-and-location-landfall-soon-in-gujarat-kutch-saurashtra-sea-tides-1716147-2023-06-15,2023-06-15
38,"हल्ला बोल: बंगाल में चुनावी हिंसा कर कौन रहा है, मकसद क्या?",https://www.aajtak.in/programmes/halla-bol/video/election-violence-tension-in-west-bengal-continuous-chaos-during-nomination-party-workers-attacking-each-other-1715427-2023-06-14,2023-06-14
39,हल्ला बोल: सरकार ने ट्विटर को भारत में बंद करने की चेतावनी दी थी?,https://www.aajtak.in/programmes/halla-bol/video/former-twitter-ceo-jack-dorsey-accused-indian-government-of-threatening-during-farmers-movement-debate-1714758-2023-06-13,2023-06-13
40,हल्ला बोल: क्या 2024 में BJP को हराने के लिए एकजुट रह पाएगा विपक्ष?,https://www.aajtak.in/programmes/halla-bol/video/opposition-meeting-in-patna-nitish-kumar-kejriwal-to-fight-against-pm-modi-bjp-2024-elections-1714056-2023-06-12,2023-06-12
41,"हल्ला बोल: विपक्षी एकता की तैयारी, कितनी भारी? देखिए बड़ी बहस",https://www.aajtak.in/programmes/halla-bol/video/opposition-parties-meeting-going-to-be-held-in-patna-on-june-23-congress-president-will-also-president-1713389-2023-06-11,2023-06-11
42,हल्ला बोल: विपक्ष की 'एकता' वाली तैयारी कितनी भारी?,https://www.aajtak.in/programmes/halla-bol/video/rahul-gandhi-on-america-tour-attacks-modi-government-bjp-retaliates-on-his-statement-debate-1712322-2023-06-09,2023-06-09
43,"हल्ला बोल: राहुल गांधी का US में बीजेपी पर वार, सियासी आर-पार ",https://www.aajtak.in/programmes/halla-bol/video/bjp-and-congress-spar-over-rahul-gandhi-remarks-on-modi-government-in-us-speech-politics-news-1711614-2023-06-08,2023-06-08
44,"हल्ला बोल: औरंगजेब के नाम पर फिर विवाद, सुलगा महाराष्ट्र का कोल्हापुर ",https://www.aajtak.in/programmes/halla-bol/video/maharashtra-violence-breaks-out-in-kolhapur-over-aurangzeb-whatsappa-status-halla-bol-1710932-2023-06-07,2023-06-07
45,हल्ला बोल: बालासोर रेल हादसे में लापरवाही हुई या फिर कोई साजिश?,https://www.aajtak.in/programmes/halla-bol/video/balasore-odisha-train-accident-negligence-or-conspiracy-politics-happening-on-both-angles-debate-1710225-2023-06-06,2023-06-06
46,"हल्ला बोल: विदेश से राहुल का प्रहार, बीजेपी-कांग्रेस में बड़ी टक्कर!",https://www.aajtak.in/programmes/halla-bol/video/rahul-gandhi-attacks-bjp-modi-government-on-his-us-tour-made-several-allegations-over-ideology-debate-1709533-2023-06-05,2023-06-05
47,हल्ला बोल: बालासोर रेल हादसे में 1000 से ज्यादा लोग घायल,https://www.aajtak.in/programmes/halla-bol/video/balasore-train-accident-odisha-people-are-in-pain-politics-also-gaining-momentum-opposition-attacks-bjp-1708454-2023-06-03,2023-06-03
48,"हल्ला बोल: राहुल ने मुस्लिम लीग को बताया सेक्युलर, छिड़ा सियासी राग!",https://www.aajtak.in/programmes/halla-bol/video/rahul-gandhi-national-press-club-washington-dc-said-muslim-league-is-a-secular-party-debate-1707934-2023-06-02,2023-06-02
49,"हल्ला बोल: साक्षी मर्डर केस में 'लव जिहाद' की एंट्री, सियासी बयानबाजी",https://www.aajtak.in/programmes/halla-bol/video/sakshi-murder-case-delhi-love-jihad-angle-investigation-by-delhi-police-politics-news-1707291-2023-06-01,2023-06-01
50,"हल्ला बोल: राहुल गांधी का PM मोदी पर बड़ा वार, बीजेपी का पलटवार ",https://www.aajtak.in/programmes/halla-bol/video/bjp-hit-back-at-congress-over-rahul-gandhi-remarks-on-pm-modi-in-us-politics-news-1706588-2023-05-31,2023-05-31
51,हल्ला बोल: बृजभूषण को पटखनी देने के लिए पहलवानों का सबसे बड़ा दांव!,https://www.aajtak.in/programmes/halla-bol/video/wrestlers-protesting-against-brij-bhushan-singh-reached-haridwar-from-delhi-to-shed-medals-in-river-ganges-1705911-2023-05-30,2023-05-30
52,हल्ला बोल: मर्यादा..गरिमा भूल...संस्कार भी भूल गई नीतीश की पार्टी!,https://www.aajtak.in/programmes/halla-bol/video/jdu-angry-that-person-whom-they-sent-to-rajya-sabha-went-to-attend-inauguration-of-new-parliament-debate-1705113-2023-05-29,2023-05-29
53,"हल्ला बोल: RJD का ताबूत बाण, नई संसद का क्यों अपमान?",https://www.aajtak.in/programmes/halla-bol/video/prime-minister-narendra-modi-inaugurated-new-parliament-house-rjd-boycott-made-objectionable-tweet-debate-1704457-2023-05-28,2023-05-28
54,"9 साल में कहां पहुंची सरकार, क्या है अर्थव्यवस्था...महंगाई का हाल?",https://www.aajtak.in/programmes/halla-bol/video/narendra-modi-bjp-government-completed-9-years-debate-over-economy-health-education-agriculture-inflation-1703941-2023-05-27,2023-05-27
55,"अब बचे 2 दिन, उद्घाटन होगा विपक्ष बिन? नई संसद भवन से 'हल्ला बोल'",https://www.aajtak.in/programmes/halla-bol/video/opposition-boycott-inauguration-of-new-parliament-by-pm-narendra-modi-on-may-28-demands-president-invitation-1703317-2023-05-26,2023-05-26
56,"हल्ला बोल: नई संसद के उद्घाटन का बहिष्कार, विपक्ष ने 2024 के लिए भरी हुंकार?",https://www.aajtak.in/programmes/halla-bol/video/congress-and-many-opposition-parties-to-boycott-opening-of-new-parliament-politics-news-1702596-2023-05-25,2023-05-25
57,"नए संसद के उद्घाटन पर आर-पार, विपक्ष का वहिष्कार",https://www.aajtak.in/programmes/halla-bol/video/on-the-inauguration-of-new-parliament-by-pm-modi-boycott-of-opposition-latest-news-in-hindi-1701857-2023-05-24,2023-05-24
58,दुनिया में PM के बढ़ते कद पर देखिए 'हल्ला बोल' में बड़ी चर्चा,https://www.aajtak.in/programmes/halla-bol/video/prime-minister-narendra-modi-addressed-people-of-india-origin-in-sydney-australia-speaks-about-development-1701022-2023-05-23,2023-05-23
59,"हल्ला बोल: नई संसद है तैयार, बीजेपी और कांग्रेस में आर-पार!",https://www.aajtak.in/programmes/halla-bol/video/pm-modi-will-inaugurate-new-building-of-parliament-on-28-may-congress-raised-questions-debate-1700259-2023-05-22,2023-05-22
60,"हल्ला बोल: '24' की चुनावी तैयारी, विपक्षी एकता कितनी भारी?",https://www.aajtak.in/programmes/halla-bol/video/2024-lok-sabha-election-opposition-unity-will-prove-heavy-on-bjp-pm-modi-or-not-debate-1699595-2023-05-21,2023-05-21
61,हल्ला बोल: विपक्ष के एकता-प्लान में अभी कितना पलीता? देखें बड़ी बहस,https://www.aajtak.in/programmes/halla-bol/video/congress-victory-in-karnataka-opposition-spirits-are-high-attempt-to-pain-picture-of-unity-in-bengaluru-debate-1699045-2023-05-20,2023-05-20
62,संसद की नई इमारत पर हो रही सियासत के खिलाफ 'हल्लाबोल',https://www.aajtak.in/programmes/halla-bol/video/pm-modi-will-inaugurate-new-building-of-parliament-on-28-may-congress-attacks-bjp-calls-it-personal-ambition-1698443-2023-05-19,2023-05-19
63,"सोनिया ने घुमाया फोन..बनी बात! सिद्धारमैया होंगे CM, डिप्टी शिवकुमार",https://www.aajtak.in/programmes/halla-bol/video/karnataka-chief-minister-decision-finally-taken-congress-convinced-dk-shivakumar-to-consider-deputy-cm-post-debate-1697621-2023-05-18,2023-05-18
64,हल्ला बोल: कर्नाटक नतीजों के बाद बीजेपी ने बदली रणनीति ,https://www.aajtak.in/programmes/halla-bol/video/bjp-changes-strategy-for-upcoming-elections-after-congress-win-in-karnataka-poll-results-1696898-2023-05-17,2023-05-17
65,हल्ला बोल: विपक्ष में एकता का दिखावा लेकिन अनेकता खत्म नहीं होती?,https://www.aajtak.in/programmes/halla-bol/video/karnataka-congress-victory-mamata-banerjee-offered-support-for-2024-with-one-condition-more-updates-debate-1696164-2023-05-16,2023-05-16
66,कर्नाटक: जीत के बाद भी कांग्रेस परेशान! CM की लड़ाई पर 'हल्ला बोल',https://www.aajtak.in/programmes/halla-bol/video/congress-2-contenders-for-post-of-cm-in-karnataka-picture-still-not-clear-despite-of-big-win-in-election-1695421-2023-05-15,2023-05-15
